Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
Canada,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
United States,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
Australia,China,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Mexico,Japan,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Australia,UAE,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Air, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Singapore,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
United Kingdom,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
South Africa,Japan,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
India,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Canada,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Brazil,Singapore,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Air, Commercial Invoice; Packing List
South Africa,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
India,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
China,India,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); Insurance Certificate; MSDS; Packing List
Japan,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Singapore,France,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Indonesia,Japan,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
United States,Japan,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Australia,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
South Africa,Brazil,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List
Australia,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United Kingdom,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Japan,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
South Africa,India,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); Insurance Certificate; MSDS; Packing List
Mexico,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Singapore,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Australia,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
South Africa,Indonesia,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Canada,UAE,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
India,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
China,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
Germany,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
China,Japan,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
United Kingdom,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Germany,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Insurance Certificate; Packing List; Phytosanitary Certificate
China,India,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Import Export Code (IEC); Packing List; Type Approval Certificate
Brazil,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Germany,Singapore,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Packing List
UAE,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
South Africa,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Japan,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Mexico,Singapore,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
South Africa,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Germany,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,India,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
Mexico,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Import Export Code (IEC); Packing List
South Africa,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Packing List
South Africa,China,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Packing List
UAE,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
UAE,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
South Africa,UAE,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
South Africa,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
China,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Japan,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Import Export Code (IEC); Packing List
United States,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
France,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
Indonesia,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,China,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Mexico,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Canada,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Canada,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
India,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
China,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
UAE,Mexico,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
UAE,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
United States,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Indonesia,India,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Singapore,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
United States,India,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Air, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Japan,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
France,Australia,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Air, Commercial Invoice; Packing List; Type Approval Certificate
Japan,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Australia,Canada,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Canada,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Australia,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
UAE,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
India,Australia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Road, Commercial Invoice; Packing List
China,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Germany,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Japan,India,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Import Export Code (IEC); Packing List
Japan,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
Australia,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Canada,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Packing List
Indonesia,France,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
France,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
China,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
South Africa,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Air, Commercial Invoice; Packing List
Brazil,India,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Road, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); MSDS; Packing List
Australia,France,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Australia,Japan,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
China,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
Germany,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Germany,Singapore,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
France,India,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Import Export Code (IEC); Packing List; Type Approval Certificate
Mexico,Indonesia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Australia,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Japan,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Germany,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Packing List; Phytosanitary Certificate
Japan,Australia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Indonesia,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Australia,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Air, Commercial Invoice; Packing List
India,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Indonesia,France,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
South Africa,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Canada,China,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Japan,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Japan,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Brazil,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United Kingdom,Singapore,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
United States,Germany,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
UAE,France,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
China,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Mexico,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Australia,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
France,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Canada,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Indonesia,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Singapore,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Canada,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Australia,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,India,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Import Export Code (IEC); Packing List
UAE,Germany,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Canada,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
China,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Indonesia,China,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
France,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Australia,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
India,United Kingdom,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Mexico,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Brazil,China,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
UAE,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Japan,China,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
South Africa,India,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
China,Australia,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
France,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Australia,South Africa,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Canada,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Packing List; Type Approval Certificate
Germany,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Packing List
South Africa,United Kingdom,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United States,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List
South Africa,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Japan,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,France,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
UAE,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
UAE,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Singapore,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Canada,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Australia,India,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Import Export Code (IEC); Packing List; Type Approval Certificate
Japan,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
France,Germany,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Indonesia,Japan,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
India,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
China,Japan,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
United States,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
Indonesia,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Singapore,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Australia,South Africa,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
Mexico,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Brazil,France,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
United States,China,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Australia,Canada,850440,Yes,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Japan,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
India,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
United States,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Germany,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Canada,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
China,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Canada,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
